severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,957,javascript:S6774,'item.created_at' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApox
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,958,javascript:S6774,'item.first_failed_at' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApoy
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,959,javascript:S6774,'item.last_failed_at' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApoz
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,964,javascript:S6774,'payloadEntries' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo0
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,968,javascript:S6774,'payloadEntries.length' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo1
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,972,javascript:S6774,'payloadEntries.map' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo2
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,981,javascript:S6774,'fieldKey' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo3
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,981,javascript:S6774,'value' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo4
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,990,javascript:S6774,'item' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo5
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,995,javascript:S6774,'item.execution_id' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo7
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,998,javascript:S6774,'item.execution_id' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo8
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1002,javascript:S6774,'item.incident_id' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo-
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1005,javascript:S6774,'item.incident_id' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvApo_
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1009,javascript:S6774,'item.alert_id' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppB
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1010,javascript:S6774,'item.alert_id' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppC
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1012,javascript:S6774,'item.playbook_id' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppD
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1013,javascript:S6774,'item.playbook_id' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppE
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1015,javascript:S6774,'item.step_index' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppF
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1015,javascript:S6774,'item.action_name' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppG
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1019,javascript:S6774,'item.step_index' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppH
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1019,javascript:S6774,'item.action_name' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppI
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1020,javascript:S6774,'item.step_index' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppJ
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1020,javascript:S6774,'item.action_name' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppK
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1021,javascript:S6774,'item.step_index' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppN
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1022,javascript:S6774,'item.step_index' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppO
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1023,javascript:S6774,'item.action_name' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppP
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1033,javascript:S6774,'item' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppQ
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1038,javascript:S6774,'item.dismiss_reason' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppR
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1039,javascript:S6774,'item.dismissed_at' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppS
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1045,javascript:S6774,'item' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppT
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1049,javascript:S6774,'item.retry_requested_at' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppU
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1054,javascript:S6774,'label' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppV
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1054,javascript:S6774,'value' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppW
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1054,javascript:S6774,'mono' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppX
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,1054,javascript:S6774,'wrap' is missing in props validation,5min,2026-05-17T14:14:39+0000,2026-05-17T14:14:46+0000,AZ42UemViLpuLITvAppY
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:core/playbook_store.py,600,python:S6903,Don't use `datetime.datetime.utcnow` to create this datetime object.,5min,2026-05-16T21:03:55+0000,2026-05-16T21:03:55+0000,AZ4yocfmg53RRSBHDa7g
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:core/playbook_store.py,229,python:S6903,Don't use `datetime.datetime.utcnow` to create this datetime object.,5min,2026-05-16T18:11:35+0000,2026-05-16T18:11:35+0000,AZ4yA1JkG33uax-c89LX
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:core/playbook_store.py,320,python:S6903,Don't use `datetime.datetime.utcnow` to create this datetime object.,5min,2026-05-16T18:11:35+0000,2026-05-16T18:11:35+0000,AZ4yA1JkG33uax-c89LY
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:core/playbook_store.py,157,python:S6903,Don't use `datetime.datetime.utcnow` to create this datetime object.,5min,2026-05-16T17:59:07+0000,2026-05-16T17:59:07+0000,AZ4x-Hncdn0D8X7N0YTL
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:core/playbook_store.py,402,python:S6903,Don't use `datetime.datetime.utcnow` to create this datetime object.,5min,2026-05-16T17:59:07+0000,2026-05-16T17:59:07+0000,AZ4x-Hncdn0D8X7N0YTM
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:core/playbook_store.py,490,python:S6903,Don't use `datetime.datetime.utcnow` to create this datetime object.,5min,2026-05-16T17:59:07+0000,2026-05-16T17:59:07+0000,AZ4x-Hncdn0D8X7N0YTN
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:core/playbook_store.py,523,python:S6903,Don't use `datetime.datetime.utcnow` to create this datetime object.,5min,2026-05-16T17:59:07+0000,2026-05-16T17:59:07+0000,AZ4x-Hncdn0D8X7N0YTO
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1054,javascript:S6774,'attempt' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyj
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1055,javascript:S6774,'attempt.metadata' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyk
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1060,javascript:S6774,'attempt.id' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyl
